,Unnamed: 0,User,User_statuses_count,user_followers,fav_count,User_location,Tweets,scores,compound,sentiment_type
4215,4215,Vanessa A. Leon,1940,601,0,USA,"RT @kost1035fm: Enter now for a chance to win tickets to see @Chicagotheband at Bank of America Performing Arts Center in #ThousandOaks
htt…","{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.7003}",0.7003,POSITIVE
4216,4216,lmao 💉💉,367,9,5,,"@JamesCageWhite I'm very sorry to hear this James 😰

I think the first step would be to contact the Bank of America… https://t.co/LR5IMbuKc0","{'neg': 0.074, 'neu': 0.926, 'pos': 0.0, 'compound': -0.1513}",-0.1513,NEGATIVE
4217,4217,Gracy,26422,215,0,"Los Angeles, CA","RT @kost1035fm: Enter now for a chance to win tickets to see @Chicagotheband at Bank of America Performing Arts Center in #ThousandOaks
htt…","{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.7003}",0.7003,POSITIVE
4218,4218,Frontend.LA,614810,262,0,,"#opportunity @ Bank of America (Portland, OR) - Financial Center Manager - 5th &amp; Main Financial Center - West Portl… https://t.co/7WpAruymEr","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4219,4219,🇵🇸 Rafeef Garbi #SaveSheikhJarrah الحريه لفلسطين,2485,214,1,"Vancouver, Canada","If you like amazing olive oil, consider purchasing Fair Trade #Palestinian olive oil from the West Bank sold by a n… https://t.co/g9PKJ63vpu","{'neg': 0.0, 'neu': 0.677, 'pos': 0.323, 'compound': 0.8225}",0.8225,POSITIVE
4220,4220,Laurel of the Bay,22436,265,4,,"@FedupMama84 @CheriJacobus By the way, Bank of America is no longer guaranteeing scheduled payments that involve th… https://t.co/JtqWWeQtqG","{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}",-0.296,NEGATIVE
4221,4221,Energy,41226,9,0,North Carolina,Bank of America - Credit Card Rewards,"{'neg': 0.0, 'neu': 0.412, 'pos': 0.588, 'compound': 0.6908}",0.6908,POSITIVE
4222,4222,david goodale,4348,115,0,,"RT @Greenbackd: Li Lu's top holdings from his latest 13F:

* $MU / Micron Technology, Inc.47.59%
* $BAC / Bank of America Corp24.86%
* $GOO…","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.2023}",0.2023,POSITIVE
4223,4223,MJAYY🥶,12813,726,0,"St Louis, MO",RT @iammjalenn: Huntsville need a mf Bank of America down here,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
4224,4224,Wakoyantanke,293,1,0,,"@Orvieto2016 @NBCNews Get a job with these guys

https://t.co/hwTiMyXk3J","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
